Time,ROS,AgentName,CohortsKilled,DamagedSites,MeanSeverity,TotalBiomassKilled,
1, 3, AsianLonghornedBeetle, 326, 57, 2.61, 191057, 
5, 1, AsianLonghornedBeetle, 58, 9, 1.56, 33417, 
11, 2, AsianLonghornedBeetle, 123, 17, 1.71, 58751, 
17, 1, AsianLonghornedBeetle, 83, 10, 1, 57160, 
21, 2, AsianLonghornedBeetle, 71, 11, 1.82, 50851, 
26, 1, AsianLonghornedBeetle, 211, 22, 1.09, 115767, 
31, 3, AsianLonghornedBeetle, 290, 34, 1.97, 146021, 
36, 2, AsianLonghornedBeetle, 67, 10, 1.5, 27087, 
43, 3, AsianLonghornedBeetle, 503, 67, 2.63, 229218, 
48, 1, AsianLonghornedBeetle, 183, 19, 1.16, 89861, 
52, 3, AsianLonghornedBeetle, 846, 68, 2.6, 457805, 
57, 3, AsianLonghornedBeetle, 269, 52, 2.17, 113955, 
61, 2, AsianLonghornedBeetle, 348, 27, 1.93, 97439, 
64, 2, AsianLonghornedBeetle, 463, 51, 1.78, 176310, 
68, 3, AsianLonghornedBeetle, 325, 31, 1.87, 132293, 
