curr,pcm,gfdl
2718140.3424,2712818.3338,2712727.6779
2408506.167,2367525.5802999996,2396032.4261
2477917.6965999994,2388713.2267,2446131.1724
2649241.8363999994,2577245.804,2581283.6552999998
2984295.8095,2944047.1391000003,2881636.3628999996
2993248.8830999997,2961742.5087000006,2771763.649
2954598.9187000003,2932970.5121,2775721.1507
2905659.2773,2919026.1486,2614775.6747999997
2936571.9213,2974733.7647,2597798.8154
3089865.2627000003,3051685.7775,2546159.7727
3163023.3614000003,3128098.0712,2538277.2210000004
3384476.9436999997,3335847.966,2614103.1676999996
3551895.1025999994,3530322.7791,2631497.5971
3737198.9153000005,3497994.0597,2593509.9536
